HSMV_Report_Number,Agency_Report_Number,Reporting_Agency,Form_Type,Crash_Date,Crash_Time,City,County,Crash_Street,Intersecting_Street,Offset_Distance,Offset_Direction,Crash_Type,Vehicles,Non_Motorists,Fatalities,Injuries,Alcohol_Related,Distraction_Related,Drug_Related,Estimated_Damages,Weather_Condition,Light_Condition,Street_Number,Crash_Type_Detailed,Crash_Type_Dir,Crash_Severity,Within_City_Limits,Manner_of_Collision,First_Harmful_Event,First_HE_Location,First_HE_Relation_to_Jct,First_HE_Within_Interchange,Type_of_Intersection,Road_Sys_Identifier,Type_of_Shoulder,Road_Surf_Cond,Contrib_Circum_Road1,Contrib_Circum_Road2,Contrib_Circum_Road3,Contrib_Circum_Env1,Contrib_Circum_Env2,Contrib_Circum_Env3,School_Bus_Related,Work_Zone_Related,Type_of_Work_Zone,Loc_in_Work_Zone,Workers_in_Work_Zone,Law_Enforcement_in_Work_Zone,Mopeds,Motorcycles,Passengers,Bicyclists,Pedestrians,Fatalities_Unrestrained,Injuries_Unrestrained,Possible_Injuries,Non_Incapacitating_Injuries,Incapacitating_Injuries,Fatalities_30_Days,Non_Traffic_Fatalities,Transported_by_EMS,Transported_by_Law_Enforcement,Transported_by_Other,Citations,Property_Dmg_Amt,Vehicle_Dmg_Amt,S4_Mapping,S4_Decimal_Degree_Longitude,S4_Decimal_Degree_Latitude,S4_Albers_X,S4_Albers_Y,S4_Mapping_Date,FID,ROADWAY,COLOR_CODE,DISTRICT,COUNTYDOT,COUNTY_2,MNG_DIST,BEGIN_POST,END_POST,Shape_Leng,Shape__Len
"89392064",20I020856,Osceola Co SO,Short,02:26:20,04:58 PM,Unincorporated,Osceola,W IRLO BRONSON MEMORIAL HWY,INTERNATIONAL DR S,"688",West,Rear End,"2","0","0","0",N,N,N,"$1,000",Cloudy,Daylight,,Rear End,E,Property Damage Only,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,U.S.,Curb,Wet,None,,,Weather Conditions,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","0","1000","Mapped, On Network",-81.5231528027939,28.332756699106,642351.131568424,483184.410682904,2/29/2020 3:00:06 PM,,,,,,,,2.000000000000000,4.000000000000000,,
"88335416",FHPD20OFF041282,FHP,Long,02:19:20,03:40 PM,Kissimmee,Osceola,OSCEOLA  PKWY,STATE ROAD 417,"50",South,Off Road,"1","0","0","1",N,N,N,"$5,500",Clear,Daylight,,Off Road,E,Injury,N,Other,Ditch,Off Roadway,Entrance/Exit Ramp,N,Not at Intersection,County,Curb,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","1","0","0","0","0",$1,$0,"0","0","500","5000","Mapped, On Network",-81.5175060635452,28.3409290126046,642885.301511595,484102.92836494,7/14/2020 10:27:42 PM,,,,,,,,2.000000000000000,4.000000000000000,,
"89392065",20I020873,Osceola Co SO,Short,02:26:20,04:58 PM,Unincorporated,Osceola,W IRLO BRONSON MEMORIAL HWY,INTERNATIONAL DR S,"766",West,Rear End,"2","0","0","0",N,N,N,"$1,000",Cloudy,Daylight,,Rear End,E,Property Damage Only,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,U.S.,Curb,Wet,Road Surface Condition,None,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","0","1000","Mapped, On Network",-81.5233968838142,28.3327378119289,642327.294399961,483181.833884271,2/29/2020 3:00:07 PM,,,,,,,,2.000000000000000,4.000000000000000,,
"89392122",20I026347,Osceola Co SO,Short,03:12:20,11:20 AM,Unincorporated,Osceola,RAMP FROM SR 417 TO CR 522,CR 522 OSCEOLA PKWY,"35",North,Rear End,"2","0","0","0",N,N,N,"$1,000",Cloudy,Daylight,,Rear End,S,Property Damage Only,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Entrance/Exit Ramp,N,T-Intersection,State,Curb,Dry,None,,,None,,,N,N,,,,,"0","0","1","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","0","1000","Mapped, On Network",-81.5181258096261,28.3424673221509,642821.236063675,484272.513031775,3/19/2020 3:40:16 PM,,,,,,,,4.000000000000000,3.000000000000000,,
"88311114",FHPD20OFF022397,FHP,Long,03:14:20,01:12 PM,Kissimmee,Osceola,OSCEOLA PKWY,SERALAGO BLVD,"100",West,Rollover,"1","0","0","0",N,N,N,"$4,000",Clear,Daylight,,Rollover,W,Property Damage Only,N,Other,Overturn/Rollover,Off Roadway,Non-Junction,N,Not at Intersection,County,Curb,Dry,None,,,None,,,N,N,,,,,"0","0","1","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","0","4000","Mapped, On Network",-81.5262395852224,28.3454043718221,642020.965451483,484582.675933611,3/17/2020 12:14:39 PM,,,,,,,,4.000000000000000,3.000000000000000,,
"88311668",FHPD20OFF029655,FHP,Long,04:26:20,05:30 PM,Kissimmee,Osceola,OSCEOLA PKWY,STATE ROAD 417 (GREENEWAY EXPY),"0",,Rear End,"3","0","0","2",N,Y,N,"$18,000",Clear,Daylight,,Rear End,W,Injury,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Intersection-Related,N,Not at Intersection,County,Unpaved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","2","0","0","0","0",$1,$0,"0","3","0","18000","Mapped, On Network",-81.5180400003729,28.3423100239376,642829.981899999,484255.2165,5/11/2020 4:37:37 PM,,,,,,,,4.000000000000000,3.000000000000000,,
"88280615",FHPD20OFF011059,FHP,Short,02:07:20,04:26 PM,Kissimmee,Osceola,OSCEOLA PARKWAY (COUNTY ROAD 522),INTERNATIONAL DRIVE,"150",West,Sideswipe,"2","0","0","0",N,N,N,$300,Clear,Daylight,,Same Direction Sideswipe,E,Property Damage Only,N,"Sideswipe, Same Direction",Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,County,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","0","300","Mapped, On Network",-81.5235836965562,28.3450950028181,642281.459993218,484553.540651849,3/16/2020 3:06:05 PM,,,,,,,,4.000000000000000,3.000000000000000,,
"88298009",FHPD20OFF021399,FHP,Short,03:11:20,12:37 PM,Unincorporated,Osceola,ARABIAN NIGHTS BOULEVARD,VINE STREET,"0",,Angle,"2","0","0","0",N,N,N,"$8,200",Clear,Daylight,,Right Angle,NE,Property Damage Only,N,Angle,Motor Vehicle in Transport,On Roadway,Intersection,N,Four-Way Intersection,Local,Curb,Dry,None,,,None,,,N,N,,,,,"0","0","3","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","8200","Mapped, On Network",-81.5311503573573,28.3329156518757,641568.349197713,483186.367636377,3/17/2020 3:53:08 PM,,,,,,,,1.000000000000000,2.000000000000000,,
"88294212",FHPD20OFF022430,FHP,Short,03:14:20,03:00 PM,Kissimmee,Osceola,CELEBRATION AVENUE,U.S HIGHWAY 192,"25",South,Rear End,"2","0","0","0",N,N,N,$700,Clear,Daylight,,Rear End,N,Property Damage Only,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,County,Curb,Dry,None,,,None,,,N,N,,,,,"0","0","1","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","700","Mapped, On Network",-81.5279200044377,28.3321891024956,641886.003124686,483112.027842853,3/31/2020 3:02:53 PM,,,,,,,,1.000000000000000,2.000000000000000,,
"89392064",20I020856,Osceola Co SO,Short,02:26:20,04:58 PM,Unincorporated,Osceola,W IRLO BRONSON MEMORIAL HWY,INTERNATIONAL DR S,"688",West,Rear End,"2","0","0","0",N,N,N,"$1,000",Cloudy,Daylight,,Rear End,E,Property Damage Only,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,U.S.,Curb,Wet,None,,,Weather Conditions,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","0","1000","Mapped, On Network",-81.5231528027939,28.332756699106,642351.131568424,483184.410682904,2/29/2020 3:00:06 PM,,,,,,,,1.000000000000000,2.000000000000000,,
