,BEGIN_POST,END_POST,crash_num,crash,month,day,hour,min,zone_id
0,2.0,4.0,1,yes,2,26,16,58,3816.0
0,2.0,4.0,1,yes,2,26,16,58,4039.0
0,2.0,4.0,1,yes,2,26,16,58,5651.0
0,2.0,4.0,1,yes,2,26,16,58,14436.0
0,2.0,4.0,1,yes,2,26,16,58,14501.0
0,2.0,4.0,1,yes,2,26,16,58,4040.0
0,2.0,4.0,1,yes,2,26,16,58,5652.0
0,2.0,4.0,1,yes,2,26,16,58,14427.0
0,2.0,4.0,1,yes,2,26,16,58,14500.0
1,2.0,4.0,1,yes,2,19,15,40,3816.0
1,2.0,4.0,1,yes,2,19,15,40,4039.0
1,2.0,4.0,1,yes,2,19,15,40,5651.0
1,2.0,4.0,1,yes,2,19,15,40,14436.0
1,2.0,4.0,1,yes,2,19,15,40,14501.0
1,2.0,4.0,1,yes,2,19,15,40,4040.0
1,2.0,4.0,1,yes,2,19,15,40,5652.0
1,2.0,4.0,1,yes,2,19,15,40,14427.0
1,2.0,4.0,1,yes,2,19,15,40,14500.0
2,2.0,4.0,1,yes,2,26,16,58,3816.0
2,2.0,4.0,1,yes,2,26,16,58,4039.0
2,2.0,4.0,1,yes,2,26,16,58,5651.0
2,2.0,4.0,1,yes,2,26,16,58,14436.0
2,2.0,4.0,1,yes,2,26,16,58,14501.0
2,2.0,4.0,1,yes,2,26,16,58,4040.0
2,2.0,4.0,1,yes,2,26,16,58,5652.0
2,2.0,4.0,1,yes,2,26,16,58,14427.0
2,2.0,4.0,1,yes,2,26,16,58,14500.0
3,4.0,3.0,1,yes,3,12,11,20,3816.0
3,4.0,3.0,1,yes,3,12,11,20,4038.0
3,4.0,3.0,1,yes,3,12,11,20,14435.0
3,4.0,3.0,1,yes,3,12,11,20,3516.0
3,4.0,3.0,1,yes,3,12,11,20,4037.0
3,4.0,3.0,1,yes,3,12,11,20,14426.0
4,4.0,3.0,1,yes,3,14,13,12,3816.0
4,4.0,3.0,1,yes,3,14,13,12,4038.0
4,4.0,3.0,1,yes,3,14,13,12,14435.0
4,4.0,3.0,1,yes,3,14,13,12,3516.0
4,4.0,3.0,1,yes,3,14,13,12,4037.0
4,4.0,3.0,1,yes,3,14,13,12,14426.0
5,4.0,3.0,1,yes,4,26,17,30,3816.0
5,4.0,3.0,1,yes,4,26,17,30,4038.0
5,4.0,3.0,1,yes,4,26,17,30,14435.0
5,4.0,3.0,1,yes,4,26,17,30,3516.0
5,4.0,3.0,1,yes,4,26,17,30,4037.0
5,4.0,3.0,1,yes,4,26,17,30,14426.0
6,4.0,3.0,1,yes,2,7,16,26,3816.0
6,4.0,3.0,1,yes,2,7,16,26,4038.0
6,4.0,3.0,1,yes,2,7,16,26,14435.0
6,4.0,3.0,1,yes,2,7,16,26,3516.0
6,4.0,3.0,1,yes,2,7,16,26,4037.0
6,4.0,3.0,1,yes,2,7,16,26,14426.0
7,1.0,2.0,1,yes,3,11,12,37,6137.0
7,1.0,2.0,1,yes,3,11,12,37,6138.0
7,1.0,2.0,1,yes,3,11,12,37,11746.0
7,1.0,2.0,1,yes,3,11,12,37,11764.0
7,1.0,2.0,1,yes,3,11,12,37,11713.0
7,1.0,2.0,1,yes,3,11,12,37,11714.0
7,1.0,2.0,1,yes,3,11,12,37,11745.0
7,1.0,2.0,1,yes,3,11,12,37,5651.0
7,1.0,2.0,1,yes,3,11,12,37,5652.0
8,1.0,2.0,1,yes,3,14,15,0,6137.0
8,1.0,2.0,1,yes,3,14,15,0,6138.0
8,1.0,2.0,1,yes,3,14,15,0,11746.0
8,1.0,2.0,1,yes,3,14,15,0,11764.0
8,1.0,2.0,1,yes,3,14,15,0,11713.0
8,1.0,2.0,1,yes,3,14,15,0,11714.0
8,1.0,2.0,1,yes,3,14,15,0,11745.0
8,1.0,2.0,1,yes,3,14,15,0,5651.0
8,1.0,2.0,1,yes,3,14,15,0,5652.0
9,1.0,2.0,1,yes,2,26,16,58,6137.0
9,1.0,2.0,1,yes,2,26,16,58,6138.0
9,1.0,2.0,1,yes,2,26,16,58,11746.0
9,1.0,2.0,1,yes,2,26,16,58,11764.0
9,1.0,2.0,1,yes,2,26,16,58,11713.0
9,1.0,2.0,1,yes,2,26,16,58,11714.0
9,1.0,2.0,1,yes,2,26,16,58,11745.0
9,1.0,2.0,1,yes,2,26,16,58,5651.0
9,1.0,2.0,1,yes,2,26,16,58,5652.0
10,1.0,2.0,1,yes,2,12,12,12,6137.0
10,1.0,2.0,1,yes,2,12,12,12,6138.0
10,1.0,2.0,1,yes,2,12,12,12,11746.0
10,1.0,2.0,1,yes,2,12,12,12,11764.0
10,1.0,2.0,1,yes,2,12,12,12,11713.0
10,1.0,2.0,1,yes,2,12,12,12,11714.0
10,1.0,2.0,1,yes,2,12,12,12,11745.0
10,1.0,2.0,1,yes,2,12,12,12,5651.0
10,1.0,2.0,1,yes,2,12,12,12,5652.0
11,1.0,2.0,1,yes,3,12,14,27,6137.0
11,1.0,2.0,1,yes,3,12,14,27,6138.0
11,1.0,2.0,1,yes,3,12,14,27,11746.0
11,1.0,2.0,1,yes,3,12,14,27,11764.0
11,1.0,2.0,1,yes,3,12,14,27,11713.0
11,1.0,2.0,1,yes,3,12,14,27,11714.0
11,1.0,2.0,1,yes,3,12,14,27,11745.0
11,1.0,2.0,1,yes,3,12,14,27,5651.0
11,1.0,2.0,1,yes,3,12,14,27,5652.0
12,1.0,2.0,1,yes,3,15,23,30,6137.0
12,1.0,2.0,1,yes,3,15,23,30,6138.0
12,1.0,2.0,1,yes,3,15,23,30,11746.0
12,1.0,2.0,1,yes,3,15,23,30,11764.0
12,1.0,2.0,1,yes,3,15,23,30,11713.0
12,1.0,2.0,1,yes,3,15,23,30,11714.0
12,1.0,2.0,1,yes,3,15,23,30,11745.0
12,1.0,2.0,1,yes,3,15,23,30,5651.0
12,1.0,2.0,1,yes,3,15,23,30,5652.0
13,1.0,2.0,1,yes,3,10,13,55,6137.0
13,1.0,2.0,1,yes,3,10,13,55,6138.0
13,1.0,2.0,1,yes,3,10,13,55,11746.0
