zone_id,display_name,state,rtmc,timezone,road,direction,location_description,lane_type,organization,detector_type,latitude,longitude,bearing,default_speed,interval,length,FID,ROADWAY,COLOR_CODE,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,Shape_Leng,Shape__Len
"3816",417003-5NBTT-link1,FTE,,America/New_York,SR-417,North,417-003_5-NB-TT,Unknown,FDOT,AVI,28.341833,-81.516875,,"65","60",2.4,,,,,,,,2.000000000000000,4.000000000000000,,
"4039",417003-0NB-LNK,FTE,,America/New_York,SR-417,North,417-002_9-NB-VDS,Unknown,FDOT,Radar,28.335649,-81.520487,,"65","60",,,,,,,,,2.000000000000000,4.000000000000000,,
"5651",417-002-6NB-LNK,FTE,,America/New_York,SR-417,North,417-002_6-NB-VDS,Unknown,FDOT,Radar,28.332286,-81.523216,,"65","60",,,,,,,,,2.000000000000000,4.000000000000000,,
"14436",417-002-9NB-LNK,FTE,,America/New_York,SR-417,North,417-002_9-NB-VDS,Unknown,FDOT,Radar,28.335649,-81.520487,,"65","60",,,,,,,,,2.000000000000000,4.000000000000000,,
"14501",417-002-9NB-LNK,FTE,,America/New_York,SR-417,North,417-002_9-NB-VDS,Unknown,FDOT,Radar,28.335649,-81.520487,,"65","60",,,,,,,,,2.000000000000000,4.000000000000000,,
"4040",417003-0SB-LNK,FTE,,America/New_York,SR-417,South,417-002_9-NB-VDS,Unknown,FDOT,Radar,28.335649,-81.520487,,"65","60",,,,,,,,,2.000000000000000,4.000000000000000,,
"5652",417-002-6SB-LNK,FTE,,America/New_York,SR-417,South,417-002_6-NB-VDS,Unknown,FDOT,Radar,28.332286,-81.523216,,"65","60",,,,,,,,,2.000000000000000,4.000000000000000,,
"14427",417-002-9SB-LNK,FTE,,America/New_York,SR-417,South,417-002_9-NB-VDS,Unknown,FDOT,Radar,28.335649,-81.520487,,"65","60",,,,,,,,,2.000000000000000,4.000000000000000,,
"14500",417-002-9SB-LNK,FTE,,America/New_York,SR-417,South,417-002_9-NB-VDS,Unknown,FDOT,Radar,28.335649,-81.520487,,"65","60",,,,,,,,,2.000000000000000,4.000000000000000,,
"3816",417003-5NBTT-link1,FTE,,America/New_York,SR-417,North,417-003_5-NB-TT,Unknown,FDOT,AVI,28.341833,-81.516875,,"65","60",2.4,,,,,,,,4.000000000000000,3.000000000000000,,
